INFO:root:Epoch 59: Train Loss = 0.06425122134387493, Test Loss = 0.24994467198848724, Time = 0.20s
INFO:root:Epoch 60: Train Loss = 0.06640533208847046, Test Loss = 0.24803277850151062, Time = 0.20s
INFO:root:Epoch 61: Train Loss = 0.06479476913809776, Test Loss = 0.24908505380153656, Time = 0.20s
INFO:root:Epoch 62: Train Loss = 0.06710395663976669, Test Loss = 0.24824875593185425, Time = 0.20s
INFO:root:Epoch 63: Train Loss = 0.062191279232501985, Test Loss = 0.24702683091163635, Time = 0.20s
INFO:root:Epoch 64: Train Loss = 0.06173855811357498, Test Loss = 0.25014153122901917, Time = 0.20s
INFO:root:Epoch 65: Train Loss = 0.061575947701931, Test Loss = 0.2526610791683197, Time = 0.20s
INFO:root:Epoch 66: Train Loss = 0.06382752358913421, Test Loss = 0.24747350811958313, Time = 0.20s
INFO:root:Epoch 67: Train Loss = 0.06402542740106583, Test Loss = 0.24560090154409409, Time = 0.21s
INFO:root:Epoch 68: Train Loss = 0.06361898817121983, Test Loss = 0.24585645645856857, Time = 0.20s
INFO:root:Epoch 69: Train Loss = 0.06382533684372901, Test Loss = 0.2503895163536072, Time = 0.20s
INFO:root:Epoch 70: Train Loss = 0.06281602121889591, Test Loss = 0.2490219622850418, Time = 0.20s
INFO:root:Epoch 71: Train Loss = 0.06531232558190822, Test Loss = 0.2454518899321556, Time = 0.20s
INFO:root:Epoch 72: Train Loss = 0.06328772976994515, Test Loss = 0.2454632669687271, Time = 0.20s
INFO:root:Epoch 73: Train Loss = 0.06169734820723534, Test Loss = 0.24772028625011444, Time = 0.20s
INFO:root:Epoch 74: Train Loss = 0.06145830117166042, Test Loss = 0.25512131303548813, Time = 0.20s
INFO:root:Epoch 75: Train Loss = 0.06461226008832455, Test Loss = 0.2512749955058098, Time = 0.20s
INFO:root:Epoch 76: Train Loss = 0.06302095577120781, Test Loss = 0.24774810671806335, Time = 0.20s
INFO:root:Epoch 77: Train Loss = 0.06222824230790138, Test Loss = 0.24803455919027328, Time = 0.20s
INFO:root:Epoch 78: Train Loss = 0.06263922452926636, Test Loss = 0.24870643019676208, Time = 0.20s
